id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,possibly_sensitive,hashtags,original_author,user_mentions,followers_count,friends_count,place,place_coord_boundaries
1241041549707882500,Fri Mar 20 16:38:57 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measuresSC #PrivateSector 'loan repayments will be reduced for a period of 6 months, following work between… https://t.co/FlKbAQo4MK",'loan repayments reduced period months following work,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241041335181881352,Fri Mar 20 16:38:06 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measuresSC #PrivateSector
'Given that Government will be providing businesses with the means to pay their e… https://t.co/Aq2ICJZ59B",'Given Government providing businesses means pay e,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241041093606674438,Fri Mar 20 16:37:08 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measuresSC #PrivateSector
'Government will provide financial assistance to these struggling businesses to e… https://t.co/lXLlMDu8Fi",'Government provide financial assistance struggling businesses e,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241040190480814080,Fri Mar 20 16:33:33 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measuresSC #PrivateSector  ""In exceptional cases, loan repayments will be reduced for a period of 6 months,… https://t.co/K88OMQsU0v",`` In exceptional cases loan repayments reduced period months,"Sentiment(polarity=0.6666666666666666, subjectivity=1.0)",0.6666666666666666,1.0,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241039846241689601,Fri Mar 20 16:32:11 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measuresSC #PrivateSector ""Government will increase the budgetary allocation for the Unemployment Relief Sc… https://t.co/5EUmoJ0Q1a",`` Government increase budgetary allocation Unemployment Relief Sc,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241039705417932803,Fri Mar 20 16:31:37 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measuresSC #PrivateSector ""Government will increase the budgetary allocation for the Agency of Social Prote… https://t.co/acdu3PXTWe",`` Government increase budgetary allocation Agency Social Prote,"Sentiment(polarity=0.03333333333333333, subjectivity=0.06666666666666667)",0.03333333333333333,0.06666666666666668,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241039570608828416,Fri Mar 20 16:31:05 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#COVID19measuresSC #PrivateSector ""Government will guarantee the salaries of all employees in the private sector fo… https://t.co/22kBauN116",`` Government guarantee salaries employees private sector fo,"Sentiment(polarity=0.0, subjectivity=0.375)",0.0,0.375,en,0,0,FinanceSC,,"COVID19measuresSC, PrivateSector",,126,224,,
1241039213811978243,Fri Mar 20 16:29:40 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#HappeningNow - President @DannyFaure announcing measures to address the #COVID19 situation in #Seychelles https://t.co/m7CB4E2UJv,President announcing measures address situation,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,False,"HappeningNow, COVID19, Seychelles",DannyFaure,126,224,,
1241032201141129216,Fri Mar 20 16:01:48 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @DrNaomiAdeline: 1 new confirmed #COVID19 case in #Seychelles, adding upbto a total of 7 cases. The team is really working long hours to…",new confirmed case adding upbto total cases The team really working long hours,"Sentiment(polarity=0.13727272727272727, subjectivity=0.5609090909090909)",0.13727272727272727,0.5609090909090909,en,0,3,FinanceSC,,"COVID19, Seychelles",DrNaomiAdeline,126,224,,
1240592653001113600,Thu Mar 19 10:55:12 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @OECDtax: 👩‍🎓🧑‍💻 The @OECDtax Global Relations Programme continues to provide assistance &amp; training for #tax officials despite the chall…,The Global Relations Programme continues provide assistance amp training officials despite chall,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,6,FinanceSC,,tax,"OECDtax, OECDtax",126,224,,
